,cc_num,provider,expires,date_added
0,4796807885357879,visa,05/23,2022-09-01 19:50
1,4529266636192966,visa,03/22,2022-09-01 19:50
2,4922690008243953,visa,02/27,2022-09-01 19:50
3,4897369589533543,visa,04/22,2022-09-01 19:50
4,4848518335893425,visa,10/26,2022-09-01 19:50
5,4419981075128775,visa,02/24,2022-09-01 19:50
6,4477118491352015,visa,08/24,2022-09-01 19:50
7,4077895609058196,visa,11/26,2022-09-01 19:50
8,4540702654946326,visa,05/25,2022-09-01 19:50
9,4577917577528649,visa,05/27,2022-09-01 19:50
10,4651982168123902,visa,05/23,2022-09-01 19:50
11,4266382731398114,visa,10/26,2022-09-01 19:50
12,4402257676878392,visa,05/24,2022-09-01 19:50
13,4760716646547615,visa,02/23,2022-09-01 19:50
14,4996417618942100,visa,09/24,2022-09-01 19:50
15,4723886612893743,visa,11/25,2022-09-01 19:50
16,4600599737277837,visa,07/25,2022-09-01 19:50
17,4245737062754407,visa,11/22,2022-09-01 19:50
18,4467730578754137,visa,01/24,2022-09-01 19:50
19,4530408675768416,visa,12/26,2022-09-01 19:50
20,4002894877268355,visa,03/23,2022-09-01 19:50
21,4078187620122790,visa,02/22,2022-09-01 19:50
22,4561295401840672,visa,02/22,2022-09-01 19:50
23,4537522242338843,visa,11/23,2022-09-01 19:50
24,4801857172816668,visa,09/23,2022-09-01 19:50
25,4577638675991444,visa,04/23,2022-09-01 19:50
26,4637007869765832,visa,03/24,2022-09-01 19:50
27,4996156334765383,visa,09/22,2022-09-01 19:50
28,4470997162909774,visa,12/22,2022-09-01 19:50
29,4125386755756793,visa,11/23,2022-09-01 19:50
30,4694825018529159,visa,08/23,2022-09-01 19:50
31,4228544492357038,visa,10/24,2022-09-01 19:50
32,4729376708188053,visa,02/22,2022-09-01 19:50
33,4096367551003080,visa,02/24,2022-09-01 19:50
34,4825446018522136,visa,03/22,2022-09-01 19:50
35,4974785180120636,visa,08/22,2022-09-01 19:50
36,4403752401643557,visa,05/25,2022-09-01 19:50
37,4180874301477032,visa,02/22,2022-09-01 19:50
38,4226541279921103,visa,02/23,2022-09-01 19:50
39,4015928623233217,visa,03/27,2022-09-01 19:50
40,4336399961348201,visa,09/25,2022-09-01 19:50
41,4734848757178659,visa,02/24,2022-09-01 19:50
42,4301976668785487,visa,01/25,2022-09-01 19:50
43,4874304025898322,visa,07/25,2022-09-01 19:50
44,4382251375646022,visa,03/27,2022-09-01 19:50
45,4603671338993166,visa,12/23,2022-09-01 19:50
46,4575121023842041,visa,02/24,2022-09-01 19:50
47,4156471097109372,visa,05/26,2022-09-01 19:50
48,4388543098554499,visa,12/25,2022-09-01 19:50
49,4232800028106875,visa,02/27,2022-09-01 19:50
50,4478986472077390,visa,10/23,2022-09-01 19:50
51,4932794356606049,visa,10/25,2022-09-01 19:50
52,4355063108695256,visa,03/25,2022-09-01 19:50
53,4045722857601932,visa,07/24,2022-09-01 19:50
54,4291880029248544,visa,09/26,2022-09-01 19:50
55,4762188703287006,visa,07/26,2022-09-01 19:50
56,4636230838127501,visa,02/25,2022-09-01 19:50
57,4237235980130917,visa,05/23,2022-09-01 19:50
58,4890727481889296,visa,01/25,2022-09-01 19:50
59,4544134641441623,visa,10/22,2022-09-01 19:50
60,4346625458746673,visa,05/22,2022-09-01 19:50
61,4927733348128818,visa,01/26,2022-09-01 19:50
62,4492029975568680,visa,11/22,2022-09-01 19:50
63,4858250082622206,visa,04/26,2022-09-01 19:50
64,4003799536246115,visa,04/22,2022-09-01 19:50
65,4107377460794114,visa,03/25,2022-09-01 19:50
66,4804713488912948,visa,03/23,2022-09-01 19:50
67,4465713419118656,visa,07/26,2022-09-01 19:50
68,4670184530498800,visa,01/26,2022-09-01 19:50
69,4295469415457855,visa,12/26,2022-09-01 19:50
70,4564162231458983,visa,09/25,2022-09-01 19:50
71,4502324163930919,visa,06/22,2022-09-01 19:50
72,4296739141110146,visa,02/23,2022-09-01 19:50
73,4618068032922539,visa,02/26,2022-09-01 19:50
74,4834903554209477,visa,10/22,2022-09-01 19:50
75,4208189274211609,visa,02/22,2022-09-01 19:50
76,4996574944074667,visa,01/22,2022-09-01 19:50
77,4852001374785730,visa,01/27,2022-09-01 19:50
78,4450263371338055,visa,02/23,2022-09-01 19:50
79,4063470084069351,visa,11/22,2022-09-01 19:50
80,4295111158682568,visa,12/25,2022-09-01 19:50
81,4464698007635586,visa,08/25,2022-09-01 19:50
82,4412240992440491,visa,10/22,2022-09-01 19:50
83,4912671486611368,visa,03/23,2022-09-01 19:50
84,4112612119839750,visa,03/27,2022-09-01 19:50
85,4417804876176722,visa,03/24,2022-09-01 19:50
86,4231660675549640,visa,01/25,2022-09-01 19:50
87,4779791506239800,visa,08/24,2022-09-01 19:50
88,4692581232693386,visa,12/26,2022-09-01 19:50
89,4119810959439912,visa,01/24,2022-09-01 19:50
90,4534470426799971,visa,12/22,2022-09-01 19:50
91,4254044590024181,visa,04/27,2022-09-01 19:50
92,4391552135393444,visa,09/26,2022-09-01 19:50
93,4659295496557788,visa,08/26,2022-09-01 19:50
94,4604924388048285,visa,12/23,2022-09-01 19:50
95,4459969302608785,visa,05/23,2022-09-01 19:50
96,4407064212848912,visa,11/23,2022-09-01 19:50
97,4578465265846427,visa,01/23,2022-09-01 19:50
98,4916653395002471,visa,03/25,2022-09-01 19:50
99,4544203314048765,visa,12/26,2022-09-01 19:50
100,4257346065115080,visa,07/22,2022-09-01 19:50
101,4235181092936050,visa,02/24,2022-09-01 19:50
102,4760227901936378,visa,02/24,2022-09-01 19:50
103,4184742108419919,visa,05/25,2022-09-01 19:50
104,4673662641541995,visa,08/22,2022-09-01 19:50
105,4663486986243146,visa,03/23,2022-09-01 19:50
106,4302318834651757,visa,03/25,2022-09-01 19:50
107,4027985061271444,visa,10/23,2022-09-01 19:50
108,4534283620214097,visa,02/25,2022-09-01 19:50
109,4515764990899487,visa,12/25,2022-09-01 19:50
110,4221806116013967,visa,01/23,2022-09-01 19:50
111,4225547256727018,visa,01/23,2022-09-01 19:50
112,4797751386008277,visa,08/25,2022-09-01 19:50
113,4155467424394266,visa,04/27,2022-09-01 19:50
114,4114577275897108,visa,11/24,2022-09-01 19:50
115,4759759177080146,visa,04/27,2022-09-01 19:50
116,4533401604007789,visa,07/24,2022-09-01 19:50
117,4928442302922211,visa,02/25,2022-09-01 19:50
118,4699776282576563,visa,01/26,2022-09-01 19:50
119,4989125842799621,visa,04/22,2022-09-01 19:50
120,4393774757058422,visa,08/25,2022-09-01 19:50
121,4467232297947688,visa,03/22,2022-09-01 19:50
